range , n golden(f), n quadratic(f), n golden(g), n quadratic(g), n golden(h), n quadratic(h)
156 , -0.0405544062260117 , -75.7 , -0.051038967681177994 , 0.0 , -0.05812760070608913 , -0.5622157655735136
158 , -0.02819179165625929 , -76.7 , -0.029791394040501906 , 0.0 , -0.03964205712540214 , -0.5622229282000089
160 , -0.05766257382912299 , -77.7 , -0.03717104005995342 , 0.0 , -0.021156513544704714 , -0.5622298234337221
162 , -0.041261181703955874 , -78.7 , -0.042105570587509966 , 0.0 , -0.04737994276377755 , -0.5622364644215211
164 , -0.04146093843778065 , -79.7 , -0.015207119120658419 , 0.0 , -0.02944636181024829 , -0.5622428635120447
166 , -0.02376785195506148 , -80.7 , -0.03480127511903852 , 0.0 , -0.040621698294950104 , -0.5622490323131721
168 , -0.051765054990665416 , -81.7 , -0.03977544342943595 , 0.0 , -0.023038827190070554 , -0.5622549817447148
170 , -0.03192466276063577 , -82.7 , -0.04041049301258148 , 0.0 , -0.05368315071809859 , -0.5622607220867886
172 , -0.028181712742052945 , -83.7 , -0.05687360937289565 , 0.0 , -0.036667658373604084 , -0.5622662630242659
174 , -0.055253593122773115 , -84.7 , -0.0249159628065323 , 0.0 , -0.01965216602911357 , -0.562271613687661
176 , -0.0343636157845415 , -85.7 , -0.024024223349867313 , 0.0 , -0.05089899134695086 , -0.5622767826907813
178 , -0.0296353424536262 , -86.7 , -0.019171060001339058 , 0.0 , -0.03443193443044068 , -0.5622817781654246
180 , -0.055811020458726546 , -87.7 , -0.03271389224694499 , 0.0 , -0.047945366082546625 , -0.5622866077933883
182 , -0.03157603991776625 , -88.7 , -0.026704256611197685 , 0.0 , -0.03181142570568429 , -0.5622912788360278
184 , -0.057197754642135834 , -89.7 , -0.01901947581827912 , 0.0 , -0.017122504560918683 , -0.5622957981615729
186 , -0.030283147169503977 , -90.7 , -0.028776427559651374 , 0.0 , -0.051078831863287766 , -0.5623001722703949
188 , -0.05533995520358026 , -91.7 , -0.021455881611294636 , 0.0 , -0.0354990343564443 , -0.5623044073183978
190 , -0.04722449173177257 , -92.7 , -0.030132268727355083 , 0.0 , -0.055409528955745024 , -0.5623085091387008
192 , -0.018559694864589193 , -93.7 , -0.020910129466729543 , 0.0 , -0.04020331347106754 , -0.5623124832617313
194 , -0.04271135835276718 , -94.7 , -0.06279460998201536 , 0.0 , -0.024997097986391603 , -0.5623163349338859
