Processing golden search in range, 0 , 1
Processing golden search in range, 2 , 8
Processing golden search in range, 4 , 9
Processing golden search in range, 6 , 10
Processing golden search in range, 8 , 11
Processing golden search in range, 10 , 11
Processing golden search in range, 12 , 11
Processing golden search in range, 14 , 12
Processing golden search in range, 16 , 12
Processing golden search in range, 18 , 12
Processing golden search in range, 20 , 13
Processing golden search in range, 22 , 13
Processing golden search in range, 24 , 13
Processing golden search in range, 26 , 13
Processing golden search in range, 28 , 13
Processing golden search in range, 30 , 13
Processing golden search in range, 32 , 13
Processing golden search in range, 34 , 14
Processing golden search in range, 36 , 14
Processing golden search in range, 38 , 14
Processing golden search in range, 40 , 14
Processing golden search in range, 42 , 14
Processing golden search in range, 44 , 14
Processing golden search in range, 46 , 14
Processing golden search in range, 48 , 14
Processing golden search in range, 50 , 14
Processing golden search in range, 52 , 14
Processing golden search in range, 54 , 15
Processing golden search in range, 56 , 15
Processing golden search in range, 58 , 15
Processing golden search in range, 60 , 15
Processing golden search in range, 62 , 15
Processing golden search in range, 64 , 15
Processing golden search in range, 66 , 15
Processing golden search in range, 68 , 15
Processing golden search in range, 70 , 15
Processing golden search in range, 72 , 15
Processing golden search in range, 74 , 15
Processing golden search in range, 76 , 15
Processing golden search in range, 78 , 15
Processing golden search in range, 80 , 15
Processing golden search in range, 82 , 15
Processing golden search in range, 84 , 15
Processing golden search in range, 86 , 16
Processing golden search in range, 88 , 16
Processing golden search in range, 90 , 16
Processing golden search in range, 92 , 16
Processing golden search in range, 94 , 16
Processing golden search in range, 96 , 16
Processing golden search in range, 98 , 16
Processing golden search in range, 100 , 16
Processing golden search in range, 102 , 16
Processing golden search in range, 104 , 16
Processing golden search in range, 106 , 16
Processing golden search in range, 108 , 16
Processing golden search in range, 110 , 16
Processing golden search in range, 112 , 16
Processing golden search in range, 114 , 16
Processing golden search in range, 116 , 16
Processing golden search in range, 118 , 16
Processing golden search in range, 120 , 16
Processing golden search in range, 122 , 16
Processing golden search in range, 124 , 16
Processing golden search in range, 126 , 16
Processing golden search in range, 128 , 16
Processing golden search in range, 130 , 16
Processing golden search in range, 132 , 16
Processing golden search in range, 134 , 16
Processing golden search in range, 136 , 16
Processing golden search in range, 138 , 17
Processing golden search in range, 140 , 17
Processing golden search in range, 142 , 17
Processing golden search in range, 144 , 17
Processing golden search in range, 146 , 17
Processing golden search in range, 148 , 17
Processing golden search in range, 150 , 17
Processing golden search in range, 152 , 17
Processing golden search in range, 154 , 17
Processing golden search in range, 156 , 17
Processing golden search in range, 158 , 17
Processing golden search in range, 160 , 17
Processing golden search in range, 162 , 17
Processing golden search in range, 164 , 17
Processing golden search in range, 166 , 17
Processing golden search in range, 168 , 17
Processing golden search in range, 170 , 17
Processing golden search in range, 172 , 17
Processing golden search in range, 174 , 17
Processing golden search in range, 176 , 17
Processing golden search in range, 178 , 17
Processing golden search in range, 180 , 17
Processing golden search in range, 182 , 17
Processing golden search in range, 184 , 17
Processing golden search in range, 186 , 17
Processing golden search in range, 188 , 17
Processing golden search in range, 190 , 17
Processing golden search in range, 192 , 17
Processing golden search in range, 194 , 17
Processing golden search in range, 196 , 17
Processing golden search in range, 198 , 17

